1,Home Needs,,1,0
2,Hobby,,1,0
3,Commercial Needs,,1,0
4,Beauty/Health/Fitness,,1,0
5,Lessons/Classes,,1,0
6,Academic Tuitions,,1,0
7,Party/Event/Festival,,1,0
8,Wedding Services,,1,0
9,Business Services,,1,0
10,Startup Support,,1,0
11,IT Services,,1,0
12,Astrology,,1,0
13,Personal Finance,,1,0
14,Personal Grooming,,1,0
15,Legal ,,1,0
16,Construction,,1,0
17,Counselling,,1,0
18,Medical Support,,1,0
19,Meditation,,1,0
